provinsi,tanggal,harga_prediksi
ACEH,2025-07-01,0.0
ACEH,2025-08-01,0.0
ACEH,2025-09-01,0.0
ACEH,2025-10-01,0.0
ACEH,2025-11-01,0.0
ACEH,2025-12-01,0.0
ACEH,2026-01-01,0.0
ACEH,2026-02-01,0.0
ACEH,2026-03-01,0.0
ACEH,2026-04-01,0.0
ACEH,2026-05-01,0.0
ACEH,2026-06-01,0.0
BALI,2025-07-01,0.0
BALI,2025-08-01,0.0
BALI,2025-09-01,0.0
BALI,2025-10-01,0.0
BALI,2025-11-01,0.0
BALI,2025-12-01,0.0
BALI,2026-01-01,0.0
BALI,2026-02-01,0.0
BALI,2026-03-01,0.0
BALI,2026-04-01,0.0
BALI,2026-05-01,0.0
BALI,2026-06-01,0.0
BANTEN,2025-07-01,0.0
BANTEN,2025-08-01,0.0
BANTEN,2025-09-01,0.0
BANTEN,2025-10-01,0.0
BANTEN,2025-11-01,0.0
BANTEN,2025-12-01,0.0
BANTEN,2026-01-01,0.0
BANTEN,2026-02-01,0.0
BANTEN,2026-03-01,0.0
BANTEN,2026-04-01,0.0
BANTEN,2026-05-01,0.0
BANTEN,2026-06-01,0.0
BENGKULU,2025-07-01,0.0
BENGKULU,2025-08-01,0.0
BENGKULU,2025-09-01,0.0
BENGKULU,2025-10-01,0.0
BENGKULU,2025-11-01,0.0
BENGKULU,2025-12-01,0.0
BENGKULU,2026-01-01,0.0
BENGKULU,2026-02-01,0.0
BENGKULU,2026-03-01,0.0
BENGKULU,2026-04-01,0.0
BENGKULU,2026-05-01,0.0
BENGKULU,2026-06-01,0.0
DI YOGYAKARTA,2025-07-01,0.0
DI YOGYAKARTA,2025-08-01,0.0
DI YOGYAKARTA,2025-09-01,0.0
DI YOGYAKARTA,2025-10-01,0.0
DI YOGYAKARTA,2025-11-01,0.0
DI YOGYAKARTA,2025-12-01,0.0
DI YOGYAKARTA,2026-01-01,0.0
DI YOGYAKARTA,2026-02-01,0.0
DI YOGYAKARTA,2026-03-01,0.0
DI YOGYAKARTA,2026-04-01,0.0
DI YOGYAKARTA,2026-05-01,0.0
DI YOGYAKARTA,2026-06-01,0.0
DKI JAKARTA,2025-07-01,0.0
DKI JAKARTA,2025-08-01,0.0
DKI JAKARTA,2025-09-01,0.0
DKI JAKARTA,2025-10-01,0.0
DKI JAKARTA,2025-11-01,0.0
DKI JAKARTA,2025-12-01,0.0
DKI JAKARTA,2026-01-01,0.0
DKI JAKARTA,2026-02-01,0.0
DKI JAKARTA,2026-03-01,0.0
DKI JAKARTA,2026-04-01,0.0
DKI JAKARTA,2026-05-01,0.0
DKI JAKARTA,2026-06-01,0.0
GORONTALO,2025-07-01,0.0
GORONTALO,2025-08-01,0.0
GORONTALO,2025-09-01,0.0
GORONTALO,2025-10-01,0.0
GORONTALO,2025-11-01,0.0
GORONTALO,2025-12-01,0.0
GORONTALO,2026-01-01,0.0
GORONTALO,2026-02-01,0.0
GORONTALO,2026-03-01,0.0
GORONTALO,2026-04-01,0.0
GORONTALO,2026-05-01,0.0
GORONTALO,2026-06-01,0.0
JAMBI,2025-07-01,0.0
JAMBI,2025-08-01,0.0
JAMBI,2025-09-01,0.0
JAMBI,2025-10-01,0.0
JAMBI,2025-11-01,0.0
JAMBI,2025-12-01,0.0
JAMBI,2026-01-01,0.0
JAMBI,2026-02-01,0.0
JAMBI,2026-03-01,0.0
JAMBI,2026-04-01,0.0
JAMBI,2026-05-01,0.0
JAMBI,2026-06-01,0.0
JAWA BARAT,2025-07-01,0.0
JAWA BARAT,2025-08-01,0.0
JAWA BARAT,2025-09-01,0.0
JAWA BARAT,2025-10-01,0.0
JAWA BARAT,2025-11-01,0.0
JAWA BARAT,2025-12-01,0.0
JAWA BARAT,2026-01-01,0.0
JAWA BARAT,2026-02-01,0.0
JAWA BARAT,2026-03-01,0.0
JAWA BARAT,2026-04-01,0.0
JAWA BARAT,2026-05-01,0.0
JAWA BARAT,2026-06-01,0.0
JAWA TENGAH,2025-07-01,0.0
JAWA TENGAH,2025-08-01,0.0
JAWA TENGAH,2025-09-01,0.0
JAWA TENGAH,2025-10-01,0.0
JAWA TENGAH,2025-11-01,0.0
JAWA TENGAH,2025-12-01,0.0
JAWA TENGAH,2026-01-01,0.0
JAWA TENGAH,2026-02-01,0.0
JAWA TENGAH,2026-03-01,0.0
JAWA TENGAH,2026-04-01,0.0
JAWA TENGAH,2026-05-01,0.0
JAWA TENGAH,2026-06-01,0.0
JAWA TIMUR,2025-07-01,0.0
JAWA TIMUR,2025-08-01,0.0
JAWA TIMUR,2025-09-01,0.0
JAWA TIMUR,2025-10-01,0.0
JAWA TIMUR,2025-11-01,0.0
JAWA TIMUR,2025-12-01,0.0
JAWA TIMUR,2026-01-01,0.0
JAWA TIMUR,2026-02-01,0.0
JAWA TIMUR,2026-03-01,0.0
JAWA TIMUR,2026-04-01,0.0
JAWA TIMUR,2026-05-01,0.0
JAWA TIMUR,2026-06-01,0.0
KALIMANTAN BARAT,2025-07-01,0.0
KALIMANTAN BARAT,2025-08-01,0.0
KALIMANTAN BARAT,2025-09-01,0.0
KALIMANTAN BARAT,2025-10-01,0.0
KALIMANTAN BARAT,2025-11-01,0.0
KALIMANTAN BARAT,2025-12-01,0.0
KALIMANTAN BARAT,2026-01-01,0.0
KALIMANTAN BARAT,2026-02-01,0.0
KALIMANTAN BARAT,2026-03-01,0.0
KALIMANTAN BARAT,2026-04-01,0.0
KALIMANTAN BARAT,2026-05-01,0.0
KALIMANTAN BARAT,2026-06-01,0.0
KALIMANTAN SELATAN,2025-07-01,0.0
KALIMANTAN SELATAN,2025-08-01,0.0
KALIMANTAN SELATAN,2025-09-01,0.0
KALIMANTAN SELATAN,2025-10-01,0.0
KALIMANTAN SELATAN,2025-11-01,0.0
KALIMANTAN SELATAN,2025-12-01,0.0
KALIMANTAN SELATAN,2026-01-01,0.0
KALIMANTAN SELATAN,2026-02-01,0.0
KALIMANTAN SELATAN,2026-03-01,0.0
KALIMANTAN SELATAN,2026-04-01,0.0
KALIMANTAN SELATAN,2026-05-01,0.0
KALIMANTAN SELATAN,2026-06-01,0.0
KALIMANTAN TENGAH,2025-07-01,0.0
KALIMANTAN TENGAH,2025-08-01,0.0
KALIMANTAN TENGAH,2025-09-01,0.0
KALIMANTAN TENGAH,2025-10-01,0.0
KALIMANTAN TENGAH,2025-11-01,0.0
KALIMANTAN TENGAH,2025-12-01,0.0
KALIMANTAN TENGAH,2026-01-01,0.0
KALIMANTAN TENGAH,2026-02-01,0.0
KALIMANTAN TENGAH,2026-03-01,0.0
KALIMANTAN TENGAH,2026-04-01,0.0
KALIMANTAN TENGAH,2026-05-01,0.0
KALIMANTAN TENGAH,2026-06-01,0.0
KALIMANTAN TIMUR,2025-07-01,0.0
KALIMANTAN TIMUR,2025-08-01,0.0
KALIMANTAN TIMUR,2025-09-01,0.0
KALIMANTAN TIMUR,2025-10-01,0.0
KALIMANTAN TIMUR,2025-11-01,0.0
KALIMANTAN TIMUR,2025-12-01,0.0
KALIMANTAN TIMUR,2026-01-01,0.0
KALIMANTAN TIMUR,2026-02-01,0.0
KALIMANTAN TIMUR,2026-03-01,0.0
KALIMANTAN TIMUR,2026-04-01,0.0
KALIMANTAN TIMUR,2026-05-01,0.0
KALIMANTAN TIMUR,2026-06-01,0.0
KALIMANTAN UTARA,2025-07-01,0.0
KALIMANTAN UTARA,2025-08-01,0.0
KALIMANTAN UTARA,2025-09-01,0.0
KALIMANTAN UTARA,2025-10-01,0.0
KALIMANTAN UTARA,2025-11-01,0.0
KALIMANTAN UTARA,2025-12-01,0.0
KALIMANTAN UTARA,2026-01-01,0.0
KALIMANTAN UTARA,2026-02-01,0.0
KALIMANTAN UTARA,2026-03-01,0.0
KALIMANTAN UTARA,2026-04-01,0.0
KALIMANTAN UTARA,2026-05-01,0.0
KALIMANTAN UTARA,2026-06-01,0.0
KEPULAUAN BANGKA BELITUNG,2025-07-01,0.0
KEPULAUAN BANGKA BELITUNG,2025-08-01,0.0
KEPULAUAN BANGKA BELITUNG,2025-09-01,0.0
KEPULAUAN BANGKA BELITUNG,2025-10-01,0.0
KEPULAUAN BANGKA BELITUNG,2025-11-01,0.0
KEPULAUAN BANGKA BELITUNG,2025-12-01,0.0
KEPULAUAN BANGKA BELITUNG,2026-01-01,0.0
KEPULAUAN BANGKA BELITUNG,2026-02-01,0.0
KEPULAUAN BANGKA BELITUNG,2026-03-01,0.0
KEPULAUAN BANGKA BELITUNG,2026-04-01,0.0
KEPULAUAN BANGKA BELITUNG,2026-05-01,0.0
KEPULAUAN BANGKA BELITUNG,2026-06-01,0.0
KEPULAUAN RIAU,2025-07-01,0.0
KEPULAUAN RIAU,2025-08-01,0.0
KEPULAUAN RIAU,2025-09-01,0.0
KEPULAUAN RIAU,2025-10-01,0.0
KEPULAUAN RIAU,2025-11-01,0.0
KEPULAUAN RIAU,2025-12-01,0.0
KEPULAUAN RIAU,2026-01-01,0.0
KEPULAUAN RIAU,2026-02-01,0.0
KEPULAUAN RIAU,2026-03-01,0.0
KEPULAUAN RIAU,2026-04-01,0.0
KEPULAUAN RIAU,2026-05-01,0.0
KEPULAUAN RIAU,2026-06-01,0.0
LAMPUNG,2025-07-01,0.0
LAMPUNG,2025-08-01,0.0
LAMPUNG,2025-09-01,0.0
LAMPUNG,2025-10-01,0.0
LAMPUNG,2025-11-01,0.0
LAMPUNG,2025-12-01,0.0
LAMPUNG,2026-01-01,0.0
LAMPUNG,2026-02-01,0.0
LAMPUNG,2026-03-01,0.0
LAMPUNG,2026-04-01,0.0
LAMPUNG,2026-05-01,0.0
LAMPUNG,2026-06-01,0.0
MALUKU,2025-07-01,0.0
MALUKU,2025-08-01,0.0
MALUKU,2025-09-01,0.0
MALUKU,2025-10-01,0.0
MALUKU,2025-11-01,0.0
MALUKU,2025-12-01,0.0
MALUKU,2026-01-01,0.0
MALUKU,2026-02-01,0.0
MALUKU,2026-03-01,0.0
MALUKU,2026-04-01,0.0
MALUKU,2026-05-01,0.0
MALUKU,2026-06-01,0.0
MALUKU UTARA,2025-07-01,0.0
MALUKU UTARA,2025-08-01,0.0
MALUKU UTARA,2025-09-01,0.0
MALUKU UTARA,2025-10-01,0.0
MALUKU UTARA,2025-11-01,0.0
MALUKU UTARA,2025-12-01,0.0
MALUKU UTARA,2026-01-01,0.0
MALUKU UTARA,2026-02-01,0.0
MALUKU UTARA,2026-03-01,0.0
MALUKU UTARA,2026-04-01,0.0
MALUKU UTARA,2026-05-01,0.0
MALUKU UTARA,2026-06-01,0.0
NUSA TENGGARA BARAT,2025-07-01,0.0
NUSA TENGGARA BARAT,2025-08-01,0.0
NUSA TENGGARA BARAT,2025-09-01,0.0
NUSA TENGGARA BARAT,2025-10-01,0.0
NUSA TENGGARA BARAT,2025-11-01,0.0
NUSA TENGGARA BARAT,2025-12-01,0.0
NUSA TENGGARA BARAT,2026-01-01,0.0
NUSA TENGGARA BARAT,2026-02-01,0.0
NUSA TENGGARA BARAT,2026-03-01,0.0
NUSA TENGGARA BARAT,2026-04-01,0.0
NUSA TENGGARA BARAT,2026-05-01,0.0
NUSA TENGGARA BARAT,2026-06-01,0.0
NUSA TENGGARA TIMUR,2025-07-01,0.0
NUSA TENGGARA TIMUR,2025-08-01,0.0
NUSA TENGGARA TIMUR,2025-09-01,0.0
NUSA TENGGARA TIMUR,2025-10-01,0.0
NUSA TENGGARA TIMUR,2025-11-01,0.0
NUSA TENGGARA TIMUR,2025-12-01,0.0
NUSA TENGGARA TIMUR,2026-01-01,0.0
NUSA TENGGARA TIMUR,2026-02-01,0.0
NUSA TENGGARA TIMUR,2026-03-01,0.0
NUSA TENGGARA TIMUR,2026-04-01,0.0
NUSA TENGGARA TIMUR,2026-05-01,0.0
NUSA TENGGARA TIMUR,2026-06-01,0.0
PAPUA,2025-07-01,0.0
PAPUA,2025-08-01,0.0
PAPUA,2025-09-01,0.0
PAPUA,2025-10-01,0.0
PAPUA,2025-11-01,0.0
PAPUA,2025-12-01,0.0
PAPUA,2026-01-01,0.0
PAPUA,2026-02-01,0.0
PAPUA,2026-03-01,0.0
PAPUA,2026-04-01,0.0
PAPUA,2026-05-01,0.0
PAPUA,2026-06-01,0.0
PAPUA BARAT,2025-07-01,0.0
PAPUA BARAT,2025-08-01,0.0
PAPUA BARAT,2025-09-01,0.0
PAPUA BARAT,2025-10-01,0.0
PAPUA BARAT,2025-11-01,0.0
PAPUA BARAT,2025-12-01,0.0
PAPUA BARAT,2026-01-01,0.0
PAPUA BARAT,2026-02-01,0.0
PAPUA BARAT,2026-03-01,0.0
PAPUA BARAT,2026-04-01,0.0
PAPUA BARAT,2026-05-01,0.0
PAPUA BARAT,2026-06-01,0.0
RIAU,2025-07-01,0.0
RIAU,2025-08-01,0.0
RIAU,2025-09-01,0.0
RIAU,2025-10-01,0.0
RIAU,2025-11-01,0.0
RIAU,2025-12-01,0.0
RIAU,2026-01-01,0.0
RIAU,2026-02-01,0.0
RIAU,2026-03-01,0.0
RIAU,2026-04-01,0.0
RIAU,2026-05-01,0.0
RIAU,2026-06-01,0.0
SULAWESI BARAT,2025-07-01,0.0
SULAWESI BARAT,2025-08-01,0.0
SULAWESI BARAT,2025-09-01,0.0
SULAWESI BARAT,2025-10-01,0.0
SULAWESI BARAT,2025-11-01,0.0
SULAWESI BARAT,2025-12-01,0.0
SULAWESI BARAT,2026-01-01,0.0
SULAWESI BARAT,2026-02-01,0.0
SULAWESI BARAT,2026-03-01,0.0
SULAWESI BARAT,2026-04-01,0.0
SULAWESI BARAT,2026-05-01,0.0
SULAWESI BARAT,2026-06-01,0.0
SULAWESI SELATAN,2025-07-01,0.0
SULAWESI SELATAN,2025-08-01,0.0
SULAWESI SELATAN,2025-09-01,0.0
SULAWESI SELATAN,2025-10-01,0.0
SULAWESI SELATAN,2025-11-01,0.0
SULAWESI SELATAN,2025-12-01,0.0
SULAWESI SELATAN,2026-01-01,0.0
SULAWESI SELATAN,2026-02-01,0.0
SULAWESI SELATAN,2026-03-01,0.0
SULAWESI SELATAN,2026-04-01,0.0
SULAWESI SELATAN,2026-05-01,0.0
SULAWESI SELATAN,2026-06-01,0.0
SULAWESI TENGAH,2025-07-01,0.0
SULAWESI TENGAH,2025-08-01,0.0
SULAWESI TENGAH,2025-09-01,0.0
SULAWESI TENGAH,2025-10-01,0.0
SULAWESI TENGAH,2025-11-01,0.0
SULAWESI TENGAH,2025-12-01,0.0
SULAWESI TENGAH,2026-01-01,0.0
SULAWESI TENGAH,2026-02-01,0.0
SULAWESI TENGAH,2026-03-01,0.0
SULAWESI TENGAH,2026-04-01,0.0
SULAWESI TENGAH,2026-05-01,0.0
SULAWESI TENGAH,2026-06-01,0.0
SULAWESI TENGGARA,2025-07-01,0.0
SULAWESI TENGGARA,2025-08-01,0.0
SULAWESI TENGGARA,2025-09-01,0.0
SULAWESI TENGGARA,2025-10-01,0.0
SULAWESI TENGGARA,2025-11-01,0.0
SULAWESI TENGGARA,2025-12-01,0.0
SULAWESI TENGGARA,2026-01-01,0.0
SULAWESI TENGGARA,2026-02-01,0.0
SULAWESI TENGGARA,2026-03-01,0.0
SULAWESI TENGGARA,2026-04-01,0.0
SULAWESI TENGGARA,2026-05-01,0.0
SULAWESI TENGGARA,2026-06-01,0.0
SULAWESI UTARA,2025-07-01,0.0
SULAWESI UTARA,2025-08-01,0.0
SULAWESI UTARA,2025-09-01,0.0
SULAWESI UTARA,2025-10-01,0.0
SULAWESI UTARA,2025-11-01,0.0
SULAWESI UTARA,2025-12-01,0.0
SULAWESI UTARA,2026-01-01,0.0
SULAWESI UTARA,2026-02-01,0.0
SULAWESI UTARA,2026-03-01,0.0
SULAWESI UTARA,2026-04-01,0.0
SULAWESI UTARA,2026-05-01,0.0
SULAWESI UTARA,2026-06-01,0.0
SUMATERA BARAT,2025-07-01,0.0
SUMATERA BARAT,2025-08-01,0.0
SUMATERA BARAT,2025-09-01,0.0
SUMATERA BARAT,2025-10-01,0.0
SUMATERA BARAT,2025-11-01,0.0
SUMATERA BARAT,2025-12-01,0.0
SUMATERA BARAT,2026-01-01,0.0
SUMATERA BARAT,2026-02-01,0.0
SUMATERA BARAT,2026-03-01,0.0
SUMATERA BARAT,2026-04-01,0.0
SUMATERA BARAT,2026-05-01,0.0
SUMATERA BARAT,2026-06-01,0.0
SUMATERA SELATAN,2025-07-01,0.0
SUMATERA SELATAN,2025-08-01,0.0
SUMATERA SELATAN,2025-09-01,0.0
SUMATERA SELATAN,2025-10-01,0.0
SUMATERA SELATAN,2025-11-01,0.0
SUMATERA SELATAN,2025-12-01,0.0
SUMATERA SELATAN,2026-01-01,0.0
SUMATERA SELATAN,2026-02-01,0.0
SUMATERA SELATAN,2026-03-01,0.0
SUMATERA SELATAN,2026-04-01,0.0
SUMATERA SELATAN,2026-05-01,0.0
SUMATERA SELATAN,2026-06-01,0.0
SUMATERA UTARA,2025-07-01,0.0
SUMATERA UTARA,2025-08-01,0.0
SUMATERA UTARA,2025-09-01,0.0
SUMATERA UTARA,2025-10-01,0.0
SUMATERA UTARA,2025-11-01,0.0
SUMATERA UTARA,2025-12-01,0.0
SUMATERA UTARA,2026-01-01,0.0
SUMATERA UTARA,2026-02-01,0.0
SUMATERA UTARA,2026-03-01,0.0
SUMATERA UTARA,2026-04-01,0.0
SUMATERA UTARA,2026-05-01,0.0
SUMATERA UTARA,2026-06-01,0.0
